UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
237899,"R",347,"R",156,"R",191,"R",5,"R",1,"R",4,"R",2,"Z",0,"R",2,"R",49,"R",29,"R",20,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",216,"R",92,"R",124,"R",20,"R",7,"R",13,"R",31,"R",16,"R",15,"R",22,"R",9,"R",13,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",347
237905,"R",32,"R",6,"R",26,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",32,"R",6,"R",26,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",32
237932,"R",516,"R",180,"R",336,"R",0,"R",0,"R",0,"R",6,"R",0,"R",6,"R",24,"R",18,"R",6,"R",3,"R",1,"R",2,"R",1,"R",1,"R",0,"R",403,"R",126,"R",277,"R",15,"R",9,"R",6,"R",46,"R",15,"R",31,"R",18,"R",10,"R",8,"R",0,"S",,"S",,"R",0,"S",,"S",,"R",0,"S",,"S",,"S",.
237950,"R",163,"R",98,"R",65,"R",0,"R",0,"R",0,"R",4,"R",1,"R",3,"R",2,"R",1,"R",1,"R",3,"R",0,"R",3,"R",1,"R",1,"R",0,"R",123,"R",76,"R",47,"R",9,"R",6,"R",3,"R",8,"R",4,"R",4,"R",13,"R",9,"R",4,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",163
237969,"R",226,"R",98,"R",128,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",13,"R",9,"R",4,"R",6,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"R",189,"R",76,"R",113,"R",6,"R",3,"R",3,"R",1,"R",1,"Z",0,"R",10,"R",6,"R",4,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",226
237987,"R",113,"R",18,"R",95,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",104,"R",17,"R",87,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",113
237996,"R",303,"R",53,"R",250,"R",1,"Z",0,"R",1,"R",2,"Z",0,"R",2,"R",11,"R",4,"R",7,"R",4,"R",1,"R",3,"Z",0,"Z",0,"Z",0,"R",282,"R",47,"R",235,"R",2,"R",1,"R",1,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",303
238005,"R",89,"R",4,"R",85,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",23,"R",2,"R",21,"R",10,"R",0,"R",10,"R",0,"R",0,"R",0,"R",54,"R",1,"R",53,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",89
238014,"R",263,"R",75,"R",188,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",0,"R",5,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",236,"R",68,"R",168,"R",15,"R",4,"R",11,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",263
238032,"R",6274,"R",2860,"R",3414,"R",8,"R",4,"R",4,"R",135,"R",63,"R",72,"R",187,"R",101,"R",86,"R",217,"R",104,"R",113,"R",2,"R",1,"R",1,"R",5098,"R",2258,"R",2840,"R",192,"R",83,"R",109,"R",50,"R",22,"R",28,"R",385,"R",224,"R",161,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",6274
238078,"R",128,"R",58,"R",70,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",14,"R",6,"R",8,"R",4,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"R",57,"R",28,"R",29,"Z",0,"Z",0,"Z",0,"R",50,"R",21,"R",29,"Z",0,"Z",0,"Z",0,"R",4,"A",,"R",4,"R",0,"A",,"R",0,"R",4,"A",,"R",4,"R",124
238096,"R",20,"R",1,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",1,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",20
238175,"R",113,"R",1,"R",112,"R",1,"R",0,"R",1,"R",5,"R",0,"R",5,"R",6,"R",0,"R",6,"R",24,"R",1,"R",23,"R",0,"R",0,"R",0,"R",72,"R",0,"R",72,"R",5,"R",0,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",113
238193,"R",601,"R",48,"R",553,"R",2,"R",0,"R",2,"R",47,"R",2,"R",45,"R",87,"R",12,"R",75,"R",117,"R",5,"R",112,"R",0,"R",0,"R",0,"R",312,"R",26,"R",286,"R",26,"R",0,"R",26,"R",5,"R",1,"R",4,"R",5,"R",2,"R",3,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",600
238263,"R",2804,"R",1074,"R",1730,"R",10,"R",8,"R",2,"R",131,"R",39,"R",92,"R",154,"R",48,"R",106,"R",321,"R",104,"R",217,"R",2,"R",1,"R",1,"R",1898,"R",766,"R",1132,"R",152,"R",49,"R",103,"R",101,"R",50,"R",51,"R",35,"R",9,"R",26,"R",53,"A",,"R",53,"R",0,"A",,"R",0,"R",53,"A",,"R",53,"R",2751
238324,"R",176,"R",27,"R",149,"Z",0,"Z",0,"Z",0,"R",4,"R",1,"R",3,"R",2,"Z",0,"R",2,"R",4,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",149,"R",20,"R",129,"R",3,"Z",0,"R",3,"R",14,"R",6,"R",8,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",176
238333,"R",211,"R",98,"R",113,"Z",0,"Z",0,"Z",0,"R",12,"R",5,"R",7,"R",17,"R",10,"R",7,"R",25,"R",7,"R",18,"Z",0,"Z",0,"Z",0,"R",113,"R",49,"R",64,"R",10,"R",4,"R",6,"R",3,"R",2,"R",1,"R",31,"R",21,"R",10,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",211
238397,"R",813,"R",227,"R",586,"R",2,"R",0,"R",2,"R",6,"R",0,"R",6,"R",51,"R",9,"R",42,"R",104,"R",32,"R",72,"R",0,"R",0,"R",0,"R",611,"R",175,"R",436,"R",26,"R",8,"R",18,"R",7,"R",2,"R",5,"R",6,"R",1,"R",5,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",813
238458,"R",895,"R",257,"R",638,"R",1,"R",0,"R",1,"R",42,"R",14,"R",28,"R",6,"R",4,"R",2,"R",51,"R",22,"R",29,"R",1,"R",0,"R",1,"R",730,"R",195,"R",535,"R",25,"R",10,"R",15,"R",34,"R",11,"R",23,"R",5,"R",1,"R",4,"R",3,"S",,"S",,"R",3,"S",,"S",,"R",6,"S",,"S",,"S",.
238476,"R",617,"R",244,"R",373,"R",3,"R",0,"R",3,"R",10,"R",5,"R",5,"R",28,"R",11,"R",17,"R",80,"R",27,"R",53,"R",0,"R",0,"R",0,"R",435,"R",182,"R",253,"R",16,"R",3,"R",13,"R",26,"R",11,"R",15,"R",19,"R",5,"R",14,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",617
238616,"R",1223,"R",362,"R",861,"R",7,"R",3,"R",4,"R",30,"R",4,"R",26,"R",73,"R",18,"R",55,"R",41,"R",12,"R",29,"R",0,"R",0,"R",0,"R",835,"R",233,"R",602,"R",22,"R",4,"R",18,"R",72,"R",18,"R",54,"R",143,"R",70,"R",73,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",1223
238661,"R",463,"R",115,"R",348,"Z",0,"Z",0,"Z",0,"R",10,"R",1,"R",9,"R",20,"R",9,"R",11,"R",38,"R",8,"R",30,"R",1,"Z",0,"R",1,"R",365,"R",91,"R",274,"R",16,"R",2,"R",14,"R",9,"R",2,"R",7,"R",4,"R",2,"R",2,"R",0,"S",,"S",,"R",0,"S",,"S",,"R",0,"S",,"S",,"S",.
