UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
100654,"R",821,"R",264,"R",557,"R",2,"R",0,"R",2,"R",1,"R",1,"R",0,"R",679,"R",219,"R",460,"R",6,"R",4,"R",2,"R",1,"R",0,"R",1,"R",24,"R",10,"R",14,"R",11,"R",4,"R",7,"R",77,"R",17,"R",60,"R",20,"R",9,"R",11
100663,"R",6039,"R",2109,"R",3930,"R",16,"R",4,"R",12,"R",374,"R",139,"R",235,"R",1158,"R",322,"R",836,"R",213,"R",73,"R",140,"R",0,"R",0,"R",0,"R",3622,"R",1274,"R",2348,"R",205,"R",59,"R",146,"R",98,"R",45,"R",53,"R",353,"R",193,"R",160
100690,"R",217,"R",83,"R",134,"R",1,"R",0,"R",1,"R",1,"Z",0,"R",1,"R",119,"R",27,"R",92,"R",4,"R",1,"R",3,"R",0,"Z",0,"R",0,"R",86,"R",52,"R",34,"Z",0,"Z",0,"Z",0,"R",6,"R",3,"R",3,"R",0,"R",0,"R",0
100706,"R",2222,"R",1145,"R",1077,"R",24,"R",9,"R",15,"R",95,"R",49,"R",46,"R",181,"R",68,"R",113,"R",87,"R",44,"R",43,"R",2,"R",2,"R",0,"R",1637,"R",878,"R",759,"R",38,"R",20,"R",18,"R",64,"R",12,"R",52,"R",94,"R",63,"R",31
100724,"R",652,"R",216,"R",436,"R",0,"R",0,"R",0,"R",5,"R",3,"R",2,"R",552,"R",173,"R",379,"R",10,"R",3,"R",7,"R",1,"R",0,"R",1,"R",54,"R",21,"R",33,"R",9,"R",4,"R",5,"R",11,"R",5,"R",6,"R",10,"R",7,"R",3
100751,"R",9315,"R",3810,"R",5505,"R",26,"R",8,"R",18,"R",107,"R",40,"R",67,"R",854,"R",261,"R",593,"R",445,"R",174,"R",271,"R",9,"R",3,"R",6,"R",7223,"R",2982,"R",4241,"R",308,"R",122,"R",186,"R",56,"R",25,"R",31,"R",287,"R",195,"R",92
100760,"R",238,"R",89,"R",149,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",40,"R",13,"R",27,"R",6,"R",1,"R",5,"R",0,"R",0,"R",0,"R",184,"R",73,"R",111,"R",4,"R",1,"R",3,"R",1,"R",1,"R",0,"R",1,"R",0,"R",1
100812,"R",813,"R",263,"R",550,"R",8,"R",1,"R",7,"R",9,"R",3,"R",6,"R",115,"R",30,"R",85,"R",23,"R",7,"R",16,"R",2,"Z",0,"R",2,"R",623,"R",216,"R",407,"R",16,"R",4,"R",12,"R",17,"R",2,"R",15,"Z",0,"Z",0,"Z",0
100830,"R",1048,"R",359,"R",689,"R",4,"R",0,"R",4,"R",15,"R",10,"R",5,"R",348,"R",88,"R",260,"R",14,"R",4,"R",10,"R",0,"R",0,"R",0,"R",507,"R",176,"R",331,"R",28,"R",5,"R",23,"R",26,"R",12,"R",14,"R",106,"R",64,"R",42
100858,"R",7612,"R",3736,"R",3876,"R",20,"R",11,"R",9,"R",175,"R",99,"R",76,"R",409,"R",160,"R",249,"R",269,"R",145,"R",124,"R",4,"R",1,"R",3,"R",5815,"R",2756,"R",3059,"R",153,"R",74,"R",79,"R",23,"R",11,"R",12,"R",744,"R",479,"R",265
