UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
100654,"R",810,"R",298,"R",512,"R",4,"R",1,"R",3,"R",4,"R",3,"R",1,"R",703,"R",254,"R",449,"R",5,"R",3,"R",2,"R",3,"R",3,"R",0,"R",57,"R",21,"R",36,"R",10,"R",4,"R",6,"R",15,"R",5,"R",10,"R",9,"R",4,"R",5
100663,"R",5449,"R",2028,"R",3421,"R",15,"R",7,"R",8,"R",301,"R",127,"R",174,"R",1001,"R",291,"R",710,"R",207,"R",85,"R",122,"R",4,"R",2,"R",2,"R",3391,"R",1263,"R",2128,"R",170,"R",56,"R",114,"R",82,"R",33,"R",49,"R",278,"R",164,"R",114
100690,"R",172,"R",63,"R",109,"R",1,"Z",0,"R",1,"R",2,"R",1,"R",1,"R",105,"R",21,"R",84,"R",3,"R",2,"R",1,"R",1,"Z",0,"R",1,"R",58,"R",38,"R",20,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0
100706,"R",1934,"R",992,"R",942,"R",18,"R",10,"R",8,"R",70,"R",41,"R",29,"R",177,"R",62,"R",115,"R",47,"R",26,"R",21,"R",2,"R",1,"R",1,"R",1285,"R",691,"R",594,"R",31,"R",12,"R",19,"R",160,"R",53,"R",107,"R",144,"R",96,"R",48
100724,"R",663,"R",227,"R",436,"R",0,"R",0,"R",0,"R",10,"R",4,"R",6,"R",580,"R",196,"R",384,"R",9,"R",5,"R",4,"R",1,"R",0,"R",1,"R",41,"R",12,"R",29,"R",3,"R",1,"R",2,"R",5,"R",2,"R",3,"R",14,"R",7,"R",7
100751,"R",8928,"R",3685,"R",5243,"R",33,"R",17,"R",16,"R",120,"R",51,"R",69,"R",927,"R",261,"R",666,"R",346,"R",135,"R",211,"R",5,"R",1,"R",4,"R",6932,"R",2919,"R",4013,"R",227,"R",88,"R",139,"R",39,"R",17,"R",22,"R",299,"R",196,"R",103
100760,"R",232,"R",93,"R",139,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",46,"R",11,"R",35,"R",6,"R",4,"R",2,"R",0,"R",0,"R",0,"R",178,"R",78,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100812,"R",741,"R",254,"R",487,"R",12,"R",6,"R",6,"R",6,"R",3,"R",3,"R",89,"R",23,"R",66,"R",23,"R",9,"R",14,"Z",0,"Z",0,"Z",0,"R",571,"R",195,"R",376,"R",12,"R",5,"R",7,"R",28,"R",13,"R",15,"Z",0,"Z",0,"Z",0
100830,"R",870,"R",270,"R",600,"R",4,"R",1,"R",3,"R",17,"R",7,"R",10,"R",264,"R",65,"R",199,"R",8,"R",4,"R",4,"R",0,"R",0,"R",0,"R",457,"R",129,"R",328,"R",23,"R",7,"R",16,"R",36,"R",12,"R",24,"R",61,"R",45,"R",16
100858,"R",7149,"R",3373,"R",3776,"R",23,"R",12,"R",11,"R",176,"R",92,"R",84,"R",449,"R",193,"R",256,"R",242,"R",97,"R",145,"R",4,"R",1,"R",3,"R",5583,"R",2595,"R",2988,"R",81,"R",28,"R",53,"R",30,"R",18,"R",12,"R",561,"R",337,"R",224
