UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
219383,"R",490,"R",159,"R",331,"R",2,"R",1,"R",1,"R",2,"Z",0,"R",2,"R",16,"R",9,"R",7,"R",27,"R",6,"R",21,"Z",0,"Z",0,"Z",0,"R",422,"R",131,"R",291,"R",14,"R",9,"R",5,"R",4,"R",1,"R",3,"R",3,"R",2,"R",1,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",490
219392,"R",14,"R",5,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14,"R",5,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"R",14
219408,"R",18,"R",7,"R",11,"R",17,"R",6,"R",11,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",18
219426,"R",708,"R",303,"R",405,"R",12,"R",8,"R",4,"R",20,"R",6,"R",14,"R",29,"R",13,"R",16,"R",20,"R",6,"R",14,"R",1,"Z",0,"R",1,"R",604,"R",260,"R",344,"R",9,"R",2,"R",7,"R",13,"R",8,"R",5,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",708
219453,"R",93,"R",1,"R",92,"R",2,"Z",0,"R",2,"R",1,"Z",0,"R",1,"R",5,"Z",0,"R",5,"R",6,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",76,"R",1,"R",75,"R",2,"Z",0,"R",2,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",93
219471,"R",1966,"R",732,"R",1234,"R",21,"R",8,"R",13,"R",27,"R",11,"R",16,"R",39,"R",24,"R",15,"R",64,"R",21,"R",43,"Z",0,"Z",0,"Z",0,"R",1669,"R",603,"R",1066,"R",64,"R",22,"R",42,"R",12,"R",8,"R",4,"R",70,"R",35,"R",35,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",1966
219480,"R",343,"R",143,"R",200,"R",31,"R",13,"R",18,"R",11,"R",3,"R",8,"R",5,"R",3,"R",2,"R",15,"R",7,"R",8,"R",4,"R",1,"R",3,"R",271,"R",114,"R",157,"R",4,"R",1,"R",3,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"A",,"R",1,"Z",0,"A",,"Z",0,"R",1,"A",,"R",1,"R",342
219505,"R",6,"R",5,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",4,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",6
219587,"R",34,"R",0,"R",34,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0,"R",30,"R",0,"R",30,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",34
219596,"R",83,"R",59,"R",24,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",3,"R",0,"R",3,"R",7,"R",7,"R",0,"R",0,"R",0,"R",0,"R",68,"R",48,"R",20,"R",4,"R",3,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",83
