,,,,,,,,,,,,Row Labels,Sum of CSAIANT,Sum of CSASIAT,Sum of CSBKAAT,Sum of CSHISPT,Sum of CSNHPIT,Sum of CSWHITT,Sum of CS2MORT,Sum of CSUNKNT,Sum of CSNRALT
2019,"1,037,095","1,453,264",,,,,,,,,,,,,,,,,,,
2020,"1,009,613","1,438,503",,,,,,,,,,,,,,,,,,,
2021,"997,232","1,460,792",,,,,,,,,,,,,,,,,,,
2022,"974,700","1,438,660",,,,,,,,,,,,,,,,,,,
2023,"956,133","1,398,566",,,,,,,,,,,,,,,,,,,
Grand Total,"7,071,433","10,101,466",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of CS2MORM,Sum of CS2MORW,,,,,,,,,,,,,,,,,,,
2017,"50,564","77,050",,,,,,,,,,,,,,,,,,,
2018,"54,296","83,149",,,,,,,,,,,,,,,,,,,
2019,"57,999","88,684",,,,,,,,,,,,,,,,,,,
2020,"60,376","93,590",,,,,,,,,,,,,,,,,,,
2021,"61,990","99,208",,,,,,,,,,,,,,,,,,,
2022,"64,510","101,973",,,,,,,,,,,,,,,,,,,
2023,"66,597","104,836",,,,,,,,,,,,,,,,,,,
Grand Total,"416,332","648,490",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of CSUNKNM,Sum of CSUNKNW,,,,,,,,,,,,,,,,,,,
2017,"87,687","118,008",,,,,,,,,,,,,,,,,,,
2018,"83,011","110,769",,,,,,,,,,,,,,,,,,,
2019,"83,755","114,202",,,,,,,,,,,,,,,,,,,
2020,"80,449","114,784",,,,,,,,,,,,,,,,,,,
2021,"82,495","121,762",,,,,,,,,,,,,,,,,,,
2022,"84,405","122,191",,,,,,,,,,,,,,,,,,,
2023,"84,171","117,878",,,,,,,,,,,,,,,,,,,
Grand Total,"585,973","819,594",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of CSNRALM,Sum of CSNRALW ,,,,,,,,,,,,,,,,,,,
2017,"156,426","128,569",,,,,,,,,,,,,,,,,,,
2018,"159,209","135,680",,,,,,,,,,,,,,,,,,,
2019,"156,401","135,818",,,,,,,,,,,,,,,,,,,
2020,"157,115","136,909",,,,,,,,,,,,,,,,,,,
2021,"149,562","132,179",,,,,,,,,,,,,,,,,,,
2022,"135,436","123,284",,,,,,,,,,,,,,,,,,,
2023,"163,231","138,847",,,,,,,,,,,,,,,,,,,
Grand Total,"1,077,380","931,286",,,,,,,,,,,,,,,,,,,
