UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
100654,"R",847,"R",303,"R",544,"R",1,"Z",0,"R",1,"R",8,"R",4,"R",4,"R",726,"R",255,"R",471,"R",4,"R",1,"R",3,"R",1,"Z",0,"R",1,"R",71,"R",28,"R",43,"R",6,"R",1,"R",5,"R",9,"R",1,"R",8,"R",21,"R",13,"R",8
100663,"R",5128,"R",1892,"R",3236,"R",15,"R",7,"R",8,"R",292,"R",118,"R",174,"R",902,"R",269,"R",633,"R",161,"R",50,"R",111,"R",4,"Z",0,"R",4,"R",3298,"R",1214,"R",2084,"R",146,"R",47,"R",99,"R",62,"R",30,"R",32,"R",248,"R",157,"R",91
100690,"R",154,"R",71,"R",83,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",82,"R",23,"R",59,"R",2,"R",2,"Z",0,"R",1,"Z",0,"R",1,"R",60,"R",40,"R",20,"Z",0,"Z",0,"Z",0,"R",8,"R",5,"R",3,"Z",0,"Z",0,"Z",0
100706,"R",1862,"R",945,"R",917,"R",25,"R",13,"R",12,"R",89,"R",48,"R",41,"R",169,"R",57,"R",112,"R",37,"R",16,"R",21,"R",0,"R",0,"R",0,"R",1295,"R",675,"R",620,"R",26,"R",11,"R",15,"R",75,"R",28,"R",47,"R",146,"R",97,"R",49
100724,"R",828,"R",269,"R",559,"R",2,"R",0,"R",2,"R",3,"R",2,"R",1,"R",714,"R",221,"R",493,"R",9,"R",5,"R",4,"R",1,"R",0,"R",1,"R",58,"R",23,"R",35,"R",7,"R",1,"R",6,"R",9,"R",5,"R",4,"R",25,"R",12,"R",13
100751,"R",8713,"R",3695,"R",5018,"R",22,"R",10,"R",12,"R",98,"R",41,"R",57,"R",881,"R",274,"R",607,"R",327,"R",130,"R",197,"R",9,"R",3,"R",6,"R",6808,"R",2959,"R",3849,"R",214,"R",81,"R",133,"R",43,"R",18,"R",25,"R",311,"R",179,"R",132
100760,"R",245,"R",96,"R",149,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",51,"R",8,"R",43,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",191,"R",85,"R",106,"R",1,"R",1,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0
100812,"R",779,"R",238,"R",541,"R",14,"R",2,"R",12,"R",6,"R",1,"R",5,"R",63,"R",19,"R",44,"R",10,"R",4,"R",6,"R",0,"R",0,"R",0,"R",653,"R",194,"R",459,"R",15,"R",6,"R",9,"R",16,"R",10,"R",6,"R",2,"R",2,"R",0
100830,"R",1001,"R",323,"R",678,"R",2,"R",2,"Z",0,"R",31,"R",10,"R",21,"R",239,"R",56,"R",183,"R",8,"R",2,"R",6,"Z",0,"Z",0,"Z",0,"R",545,"R",177,"R",368,"R",12,"R",3,"R",9,"R",53,"R",13,"R",40,"R",111,"R",60,"R",51
100858,"R",6677,"R",3268,"R",3409,"R",44,"R",14,"R",30,"R",161,"R",80,"R",81,"R",415,"R",187,"R",228,"R",199,"R",98,"R",101,"R",3,"R",2,"R",1,"R",5322,"R",2569,"R",2753,"R",70,"R",35,"R",35,"R",32,"R",18,"R",14,"R",431,"R",265,"R",166
100937,"R",277,"R",130,"R",147,"R",4,"Z",0,"R",4,"R",18,"R",6,"R",12,"R",27,"R",16,"R",11,"R",7,"R",3,"R",4,"Z",0,"Z",0,"Z",0,"R",207,"R",97,"R",110,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",12,"R",7,"R",5
101028,"R",242,"R",84,"R",158,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",89,"R",31,"R",58,"R",8,"R",5,"R",3,"R",1,"R",1,"Z",0,"R",132,"R",42,"R",90,"R",5,"R",2,"R",3,"R",5,"R",2,"R",3,"Z",0,"Z",0,"Z",0
