UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
130989,"R",455,"R",198,"R",257,"R",3,"R",1,"R",2,"R",13,"R",6,"R",7,"R",54,"R",24,"R",30,"R",20,"R",10,"R",10,"R",0,"R",0,"R",0,"R",125,"R",57,"R",68,"R",19,"R",5,"R",14,"R",1,"R",1,"R",0,"R",220,"R",94,"R",126
131061,"R",57,"R",5,"R",52,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",17,"R",3,"R",14,"R",12,"R",1,"R",11,"R",1,"R",0,"R",1,"R",25,"R",1,"R",24,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0
131098,"R",221,"R",82,"R",139,"R",0,"R",0,"R",0,"R",4,"R",1,"R",3,"R",69,"R",24,"R",45,"R",13,"R",6,"R",7,"R",1,"R",0,"R",1,"R",116,"R",41,"R",75,"R",8,"R",4,"R",4,"R",8,"R",4,"R",4,"R",2,"R",2,"R",0
131113,"R",3515,"R",1104,"R",2411,"R",24,"R",9,"R",15,"R",84,"R",31,"R",53,"R",695,"R",164,"R",531,"R",198,"R",59,"R",139,"R",4,"R",1,"R",3,"R",1942,"R",599,"R",1343,"R",45,"R",11,"R",34,"R",170,"R",55,"R",115,"R",353,"R",175,"R",178
131159,"R",4150,"R",1469,"R",2681,"R",6,"R",2,"R",4,"R",220,"R",78,"R",142,"R",417,"R",125,"R",292,"R",485,"R",145,"R",340,"R",2,"R",0,"R",2,"R",2015,"R",771,"R",1244,"R",156,"R",49,"R",107,"R",310,"R",98,"R",212,"R",539,"R",201,"R",338
131283,"R",1516,"R",655,"R",861,"R",3,"R",2,"R",1,"R",47,"R",16,"R",31,"R",130,"R",46,"R",84,"R",151,"R",65,"R",86,"R",1,"R",1,"Z",0,"R",860,"R",359,"R",501,"R",79,"R",36,"R",43,"R",77,"R",33,"R",44,"R",168,"R",97,"R",71
131399,"R",753,"R",286,"R",467,"R",2,"R",0,"R",2,"R",25,"R",9,"R",16,"R",397,"R",120,"R",277,"R",88,"R",36,"R",52,"R",1,"R",0,"R",1,"R",56,"R",24,"R",32,"R",20,"R",5,"R",15,"R",40,"R",16,"R",24,"R",124,"R",76,"R",48
131405,"R",39,"R",31,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",35,"R",27,"R",8,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",2,"R",2,"Z",0
131450,"R",392,"R",132,"R",260,"R",2,"R",1,"R",1,"R",14,"R",5,"R",9,"R",37,"R",21,"R",16,"R",41,"R",17,"R",24,"R",0,"R",0,"R",0,"R",229,"R",67,"R",162,"R",20,"R",5,"R",15,"R",32,"R",7,"R",25,"R",17,"R",9,"R",8
131469,"R",9365,"R",3761,"R",5604,"R",23,"R",9,"R",14,"R",905,"R",339,"R",566,"R",952,"R",292,"R",660,"R",788,"R",291,"R",497,"R",20,"R",6,"R",14,"R",4320,"R",1710,"R",2610,"R",248,"R",86,"R",162,"R",570,"R",225,"R",345,"R",1539,"R",803,"R",736
131496,"R",6904,"R",3108,"R",3796,"R",8,"R",2,"R",6,"R",551,"R",225,"R",326,"R",475,"R",189,"R",286,"R",527,"R",220,"R",307,"R",6,"R",3,"R",3,"R",3378,"R",1584,"R",1794,"R",208,"R",96,"R",112,"R",315,"R",170,"R",145,"R",1436,"R",619,"R",817
131520,"R",1651,"R",554,"R",1097,"R",2,"R",1,"R",1,"R",67,"R",30,"R",37,"R",1233,"R",390,"R",843,"R",80,"R",23,"R",57,"R",1,"R",0,"R",1,"R",53,"R",19,"R",34,"R",62,"R",19,"R",43,"R",0,"R",0,"R",0,"R",153,"R",72,"R",81
131803,"R",208,"R",68,"R",140,"R",0,"R",0,"R",0,"R",6,"R",3,"R",3,"R",171,"R",57,"R",114,"R",12,"R",4,"R",8,"R",0,"R",0,"R",0,"R",7,"R",2,"R",5,"R",5,"R",1,"R",4,"R",3,"R",1,"R",2,"R",4,"R",0,"R",4
131830,"R",19,"R",8,"R",11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",1,"R",4,"R",3,"R",2,"R",1,"R",0,"R",0,"R",0,"R",7,"R",3,"R",4,"R",3,"R",1,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0
131876,"R",331,"R",19,"R",312,"R",2,"R",0,"R",2,"R",4,"R",0,"R",4,"R",200,"R",11,"R",189,"R",68,"R",2,"R",66,"R",0,"R",0,"R",0,"R",25,"R",1,"R",24,"R",8,"R",2,"R",6,"R",21,"R",1,"R",20,"R",3,"R",2,"R",1
131973,"R",131,"R",78,"R",53,"R",1,"R",0,"R",1,"R",12,"R",10,"R",2,"R",41,"R",20,"R",21,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",59,"R",36,"R",23,"R",2,"R",1,"R",1,"R",3,"R",2,"R",1,"R",10,"R",6,"R",4
132374,"R",688,"R",333,"R",355,"R",1,"R",0,"R",1,"R",16,"R",10,"R",6,"R",408,"R",175,"R",233,"R",156,"R",78,"R",78,"R",1,"R",1,"R",0,"R",93,"R",64,"R",29,"R",13,"R",5,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
132408,"R",77,"R",43,"R",34,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",6,"R",2,"R",3,"R",3,"Z",0,"R",1,"Z",0,"R",1,"R",59,"R",31,"R",28,"R",1,"R",1,"Z",0,"R",4,"R",1,"R",3,"R",1,"R",1,"Z",0
132471,"R",2080,"R",703,"R",1377,"R",6,"R",2,"R",4,"R",84,"R",25,"R",59,"R",579,"R",144,"R",435,"R",626,"R",190,"R",436,"R",4,"R",1,"R",3,"R",512,"R",224,"R",288,"R",31,"R",10,"R",21,"R",78,"R",23,"R",55,"R",160,"R",84,"R",76
132602,"R",549,"R",188,"R",361,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",433,"R",135,"R",298,"R",8,"R",5,"R",3,"Z",0,"Z",0,"Z",0,"R",22,"R",12,"R",10,"R",4,"R",1,"R",3,"R",78,"R",33,"R",45,"R",2,"Z",0,"R",2
132657,"R",856,"R",373,"R",483,"R",2,"R",2,"R",0,"R",15,"R",5,"R",10,"R",105,"R",37,"R",68,"R",125,"R",51,"R",74,"R",1,"R",1,"R",0,"R",308,"R",130,"R",178,"R",6,"R",2,"R",4,"R",131,"R",58,"R",73,"R",163,"R",87,"R",76
132675,"R",85,"R",32,"R",53,"R",0,"R",0,"R",0,"R",3,"R",0,"R",3,"R",23,"R",10,"R",13,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",58,"R",21,"R",37,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
